source,box_id,date,gmID,gameCode,deanAbbrev,plyrID,displayName,actionType,oNetPts,dNetPts,tNetPts
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642303,Leïla Lacan,total,-4.4609,0.0596,-4.4013
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,2pt,-0.5913,0.3295,-0.2618
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,2ptShooting,-0.5625,0.0551,-0.5074
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,3pt,0.7344,-0.188,0.5465
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,3ptShooting,0.791,-0.4965,0.2945
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,assist,0.3187,-0.1086,0.2101
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,atb,0.0,-0.4965,-0.4965
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,badpass,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,bank,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,corner,0.791,0.0,0.791
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,cutting,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,driving,-0.5625,0.1044,-0.4581
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,dunk,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,fade,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,floating,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,foul,-0.0203,-1.6786,-1.6989
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,freethrow,-0.009,0.2793,0.2703
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,grenade,0.0,0.0532,0.0532
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,hook,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,layup,-0.5625,0.1044,-0.4581
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,mid,0.0,-0.0493,-0.0493
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,period,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,rebound,-0.0806,0.2249,0.1443
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,rim,-0.5625,0.1044,-0.4581
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,stoppage,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,timeout,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,turnover,-1.1757,0.3166,-0.8591
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,violation,0.0,,
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,fastbreak,0.7031,0.2309,0.934
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,putback,-0.0319,-0.0341,-0.0659
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1642841,Mamignan Touré,total,-1.1425,-0.7163,-1.8588
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1629497,Marina Mabrey,2pt,0.5239,-0.8946,-0.3707
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1629497,Marina Mabrey,2ptShooting,0.6845,-0.4691,0.2154
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1629497,Marina Mabrey,3pt,-2.8949,-1.2205,-4.1155
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1629497,Marina Mabrey,3ptShooting,-2.9803,-0.5725,-3.5528
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1629497,Marina Mabrey,assist,0.8209,-0.494,0.3268
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1629497,Marina Mabrey,atb,-2.4703,-0.0772,-2.5475
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1629497,Marina Mabrey,badpass,-1.3263,0.0,-1.3263
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1629497,Marina Mabrey,bank,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1629497,Marina Mabrey,corner,-0.51,-0.4953,-1.0053
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1629497,Marina Mabrey,cutting,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1629497,Marina Mabrey,driving,0.0,-0.2702,-0.2702
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1629497,Marina Mabrey,dunk,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1629497,Marina Mabrey,fade,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1629497,Marina Mabrey,floating,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1629497,Marina Mabrey,foul,0.1194,-0.5838,-0.4644
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1629497,Marina Mabrey,freethrow,0.1838,0.258,0.4418
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1629497,Marina Mabrey,grenade,-0.4304,-0.344,-0.7743
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1629497,Marina Mabrey,hook,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1629497,Marina Mabrey,jumpball,0.0,0.0,0.0
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1629497,Marina Mabrey,layup,0.6845,-0.2702,0.4144
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1629497,Marina Mabrey,mid,0.0,-0.199,-0.199
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1629497,Marina Mabrey,period,0.0,,
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1629497,Marina Mabrey,rebound,0.0757,0.4981,0.5738
espnanalytics,20250811-1022500204,2025-08-11,1022500204,20250811,CON,1629497,Marina Mabrey,rim,0.6845,-0.2702,0.4144
