team,split_type,split_value,games,pts_avg,opp_pts_avg,margin_avg,pace_avg,total_avg,win_rate,efg_avg,tov_rate_proxy_avg,three_rate_avg,ft_rate_avg
LAS,opponent,SEA,2,76.0,82.5,-6.5,82.75,158.5,0.5,0.4117948717948718,0.14540763673890608,0.45641025641025645,0.3205128205128205
LAS,opponent,TOR,3,97.33333333333333,108.66666666666667,-11.333333333333334,82.16666666666667,206.0,0.3333333333333333,0.5952765804597702,0.1401046716569904,0.4049834863412449,0.3837466412897448
LAS,opponent,WAS,1,92.0,87.0,5.0,81.0,179.0,1.0,0.5454545454545454,0.1516464471403813,0.30303030303030304,0.42424242424242425
LAS,overall,all,25,88.52,93.64,-5.12,83.14,182.16,0.4,0.5210865146050927,0.15470958783286468,0.38230956272421734,0.3171035318772509
LAS,result,L,15,82.0,96.2,-14.2,82.7,178.2,0.0,0.48392131677136113,0.1661043467760242,0.376736594713785,0.33778030989568114
LAS,result,W,10,98.3,89.8,8.5,83.8,188.1,1.0,0.57683431135569,0.1376174494181254,0.3906690147398658,0.2860883648496054
LVA,home_away,away,12,91.5,84.16666666666667,7.333333333333333,81.0,175.66666666666666,0.8333333333333334,0.5525455062871253,0.1371382211828326,0.3123231285089159,0.3213293982314633
LVA,home_away,home,12,88.33333333333333,87.66666666666667,0.6666666666666666,74.70833333333333,176.0,0.5833333333333334,0.5386892938902518,0.13578772183750645,0.36270999003937887,0.2987614729282571
LVA,month,Jul,5,87.0,84.2,2.8,80.0,171.2,0.6,0.5128116929399894,0.131408413944279,0.33861724875267285,0.34952621624040014
LVA,month,Jun,11,90.45454545454545,85.45454545454545,5.0,73.4090909090909,175.9090909090909,0.8181818181818182,0.5598472482893967,0.13051724695018824,0.3717550308628452,0.32101217353460637
LVA,month,May,8,91.0,87.625,3.375,82.625,178.625,0.625,0.5465549257806517,0.14779744125882532,0.2897507299156096,0.2702906829792468
LVA,opponent,ATL,1,85.0,84.0,1.0,85.0,169.0,1.0,0.4931506849315068,0.13906718014548566,0.3698630136986301,0.2328767123287671
LVA,opponent,CHI,2,102.5,94.5,8.0,88.0,197.0,1.0,0.5697032436162871,0.1291988882393897,0.3578329882677709,0.5110420979986198
LVA,opponent,CON,2,99.5,81.5,18.0,83.75,181.0,1.0,0.6157806513409961,0.1733500218918353,0.2231800766283525,0.4216954022988506
LVA,opponent,DAL,3,84.0,91.66666666666667,-7.666666666666667,80.83333333333333,175.66666666666666,0.3333333333333333,0.5072094691535151,0.12820323092344932,0.2842419894787183,0.2762314681970349
LVA,opponent,GSV,3,89.0,77.66666666666667,11.333333333333334,76.33333333333333,166.66666666666666,1.0,0.5944983857277711,0.1473973586562872,0.4029413864496323,0.2753226561322513
LVA,opponent,IND,2,71.5,96.5,-25.0,75.75,168.0,0.0,0.4283267457180501,0.14421541794959516,0.29591567852437417,0.37220026350461133
LVA,opponent,LAS,3,93.0,82.66666666666667,10.333333333333334,81.83333333333333,175.66666666666666,0.6666666666666666,0.5647724383422325,0.1373424956979696,0.33975336892957025,0.25152555301296725
LVA,opponent,MIN,1,100.0,97.0,3.0,77.5,197.0,1.0,0.6194029850746269,0.12737378415933304,0.373134328358209,0.2835820895522388
LVA,opponent,NYL,1,76.0,87.0,-11.0,77.5,163.0,0.0,0.4861111111111111,0.08482792050412022,0.375,0.1111111111111111
LVA,opponent,PDX,2,96.5,84.5,12.0,78.25,181.0,1.0,0.5854963570127505,0.14344783883287746,0.35837887067395263,0.38171675774134795
LVA,opponent,PHX,3,86.0,77.66666666666667,8.333333333333334,80.5,163.66666666666666,0.6666666666666666,0.5088897915119953,0.12498106883700104,0.343658205920012,0.2293717743179218
LVA,opponent,SEA,1,101.0,91.0,10.0,18.5,192.0,1.0,0.5714285714285714,0.12964563526361278,0.4,0.34285714285714286
LVA,overall,all,24,89.91666666666667,85.91666666666667,4.0,77.85416666666667,175.83333333333334,0.7083333333333334,0.5456174000886885,0.1364629715101695,0.3375165592741474,0.3100454355798602
LVA,result,L,7,76.14285714285714,95.85714285714286,-19.714285714285715,79.21428571428571,172.0,0.0,0.4591672318649226,0.13101886057669662,0.3098202723794488,0.21759969836045015
LVA,result,W,17,95.58823529411765,81.82352941176471,13.764705882352942,77.29411764705883,177.41176470588235,1.0,0.5812145281808274,0.13870466424748187,0.34892091270137626,0.34811132737608785
MIN,home_away,away,12,88.75,80.83333333333333,7.916666666666667,81.41666666666667,169.58333333333334,0.8333333333333334,0.5312663877382646,0.14824075045880655,0.301495940149862,0.27406926133493364
MIN,home_away,home,14,93.28571428571429,83.64285714285714,9.642857142857142,81.0,176.92857142857142,0.7142857142857143,0.5587800975027215,0.1377415743242112,0.33331782502350954,0.25616445757584466
MIN,month,Jul,7,93.14285714285714,90.57142857142857,2.5714285714285716,80.28571428571429,183.71428571428572,0.7142857142857143,0.5512618306234482,0.12624772918490723,0.3870612033274655,0.3013321911539957
MIN,month,Jun,11,92.0,79.45454545454545,12.545454545454545,81.0909090909091,171.45454545454547,0.8181818181818182,0.538618528382798,0.13538977352359566,0.29576874252146407,0.2373534211375195
MIN,month,May,8,88.375,79.125,9.25,82.125,167.5,0.75,0.551810173915295,0.16678117912384152,0.29018953013738924,0.269365071436293
MIN,opponent,ATL,2,93.0,86.0,7.0,81.75,179.0,0.5,0.5924840085287846,0.161181408298531,0.2703624733475479,0.23176972281449892
MIN,opponent,CHI,3,81.0,73.0,8.0,85.66666666666667,154.0,0.6666666666666666,0.4654883515581953,0.16577022043020873,0.30398409213767114,0.23389615739606093
MIN,opponent,CON,2,87.5,85.0,2.5,79.5,172.5,0.5,0.5285211267605634,0.14718333813238366,0.3946009389671361,0.3588028169014085
